Date,activeaddresses
2019/09/01,323265
2019/09/02,382832
2019/09/03,375150
2019/09/04,363530
2019/09/05,401079
2019/09/06,390040
2019/09/07,349034
2019/09/08,343024
2019/09/09,390739
2019/09/10,351679
2019/09/11,368251
2019/09/12,372909
2019/09/13,322829
2019/09/14,331037
2019/09/15,334294
2019/09/16,389111
2019/09/17,360249
2019/09/18,369064
2019/09/19,351219
2019/09/20,382734
2019/09/21,298818
2019/09/22,282259
2019/09/23,302784
2019/09/24,352907
2019/09/25,338456
2019/09/26,323722
2019/09/27,320264
2019/09/28,304489
2019/09/29,280950
2019/09/30,331713
2019/10/01,329011
2019/10/02,322462
2019/10/03,291210
2019/10/04,285909
2019/10/05,302379
2019/10/06,287627
2019/10/07,312670
2019/10/08,332221
2019/10/09,368243
2019/10/10,349344
2019/10/11,348738
2019/10/12,305087
2019/10/13,280612
2019/10/14,317021
2019/10/15,338097
2019/10/16,322678
2019/10/17,322923
2019/10/18,361261
2019/10/19,328130
2019/10/20,292990
2019/10/21,329954
2019/10/22,328951
2019/10/23,327304
