Date,transactions3var
2018/09/17,1667957638
2018/09/18,1520177595
2018/09/19,559492849
2018/09/20,14892348
2018/09/21,405558360
2018/09/22,941423144
2018/09/23,1257748748
2018/09/24,26723779
2018/09/25,465405100
2018/09/26,259116727
2018/09/27,110370725
2018/09/28,19079189
2018/09/29,1026592798
2018/09/30,759255854
2018/10/01,422323688
2018/10/02,35891543
2018/10/03,1306601206
2018/10/04,1052844080
2018/10/05,292301006
2018/10/06,303482030
2018/10/07,2149696051
2018/10/08,1641183751
2018/10/09,400776038
2018/10/10,124861448
2018/10/11,491304395
2018/10/12,557549851
2018/10/13,145493762
2018/10/14,428977886
2018/10/15,426953016
2018/10/16,751895352
2018/10/17,60007767
2018/10/18,36520527
2018/10/19,210164768
2018/10/20,749764736
2018/10/21,1538022767
2018/10/22,816789457
2018/10/23,841317998
2018/10/24,331931489
2018/10/25,103965633
2018/10/26,62143845
2018/10/27,483620478
2018/10/28,503806595
2018/10/29,2716840511
2018/10/30,2304307658
2018/10/31,154978339
2018/11/01,99872225
2018/11/02,337621455
2018/11/03,1179151884
2018/11/04,372171566
2018/11/05,1236753562
2018/11/06,1420366723
2018/11/07,177215883
2018/11/08,321145030
2018/11/09,46936950
2018/11/10,877540878
2018/11/11,594111714
2018/11/12,1123033842
2018/11/13,317144515
2018/11/14,138626536
2018/11/15,141434745
2018/11/16,155148607
2018/11/17,620212740
2018/11/18,789945685
2018/11/19,3698705400
2018/11/20,4328668487
2018/11/21,447643540
2018/11/22,609135976
2018/11/23,63795603
2018/11/24,1022787681
2018/11/25,660531836
2018/11/26,607226068
2018/11/27,247470463
2018/11/28,838427245
2018/11/29,868154545
2018/11/30,769937056
2018/12/01,907838982
2018/12/02,1984527463
2018/12/03,523359228
2018/12/04,965836641
2018/12/05,391721911
2018/12/06,181261140
2018/12/07,102311404
2018/12/08,245013020
2018/12/09,736476643
2018/12/10,480331137
2018/12/11,385767501
2018/12/12,93350356
2018/12/13,210522361
2018/12/14,236278783
2018/12/15,47684702
2018/12/16,448722327
2018/12/17,490656167
2018/12/18,511685756
2018/12/19,296529407
2018/12/20,429171280
2018/12/21,12930070
2018/12/22,2639460324
2018/12/23,2064689787
2018/12/24,2431447737
2018/12/25,1303581004
2018/12/26,1132922070
2018/12/27,104725190
2018/12/28,94246438
2018/12/29,155128862
2018/12/30,2250476876
2018/12/31,1246516185
2019/01/01,1045186438
2019/01/02,3352750070
2019/01/03,4686519807
2019/01/04,435174745
2019/01/05,1220126547
2019/01/06,652711316
2019/01/07,688138064
2019/01/08,933895211
2019/01/09,10882944
2019/01/10,163805028
2019/01/11,282889350
2019/01/12,2951083843
2019/01/13,1380416205
2019/01/14,2835971588
2019/01/15,1557528968
2019/01/16,807711115
2019/01/17,182907145
2019/01/18,170937384
2019/01/19,106880713
2019/01/20,388124
2019/01/21,437154044
2019/01/22,794814553
2019/01/23,895664888
2019/01/24,1403535114
2019/01/25,139487256
2019/01/26,553559729
2019/01/27,277554423
2019/01/28,1979043190
2019/01/29,1369799654
2019/01/30,32796842
2019/01/31,442014234
2019/02/01,554292620
2019/02/02,793581135
2019/02/03,952886038
2019/02/04,209665195
2019/02/05,17520941
2019/02/06,40678887
2019/02/07,43926794
2019/02/08,412473141
2019/02/09,556856302
2019/02/10,1393866602
2019/02/11,413966678
2019/02/12,624169017
2019/02/13,756094253
2019/02/14,494912275
2019/02/15,92294522
2019/02/16,73508591
2019/02/17,74588035
2019/02/18,842555324
2019/02/19,1327317484
2019/02/20,86179348
2019/02/21,38729465
2019/02/22,45264881
2019/02/23,875881772
2019/02/24,795918291
2019/02/25,1636795840
2019/02/26,189728307
2019/02/27,197029494
2019/02/28,40757415
2019/03/01,11941500
2019/03/02,75387235
2019/03/03,519186956
2019/03/04,2915253060
2019/03/05,3111437481
2019/03/06,284483681
2019/03/07,116780269
2019/03/08,46689781
2019/03/09,48230981
2019/03/10,1258794413
2019/03/11,919029740
2019/03/12,1107118104
2019/03/13,246438780
2019/03/14,19057591
2019/03/15,93826381
2019/03/16,852000347
2019/03/17,650136174
2019/03/18,1244942488
2019/03/19,3332881028
2019/03/20,783730918
2019/03/21,54008671
2019/03/22,28251969
2019/03/23,864790179
2019/03/24,1220047804
2019/03/25,1959022122
2019/03/26,1855111331
2019/03/27,101353414
2019/03/28,12105873
2019/03/29,34908334
2019/03/30,214152050
2019/03/31,141070698
2019/04/01,285139773
2019/04/02,2165694835
2019/04/03,969247140
2019/04/04,1420258739
2019/04/05,2616546245
2019/04/06,2191396645
2019/04/07,727887564
2019/04/08,2345656881
2019/04/09,1802732305
2019/04/10,50697617
2019/04/11,947013569
2019/04/12,513685441
2019/04/13,2312927067
2019/04/14,3458901195
2019/04/15,1011171555
2019/04/16,1926157473
2019/04/17,601232431
2019/04/18,287962385
2019/04/19,43948775
2019/04/20,19732583
2019/04/21,775412321
2019/04/22,1323850193
2019/04/23,1942551665
2019/04/24,697837330
2019/04/25,681302018
2019/04/26,67658498
2019/04/27,2664132158
